ClassicSacrificialDilemmas,GreaterGoodDilemmas
4,1
7,2
6.5,1
4.5,2.428571429
5.5,1.142857143
6.75,3
7,2.857142857
7,1.142857143
4,1.142857143
6.5,1.714285714
7,2.428571429
5.5,1
2.25,1.714285714
5,1.142857143
3.25,2
6.5,1.571428571
3.5,1.571428571
7,2
3.75,1.428571429
6.25,2.428571429
4,1.571428571
5.75,3.714285714
5.5,1.857142857
3.25,2.142857143
2.75,1.285714286
5.25,1
5.5,1.428571429
4,1.857142857
4.75,1
4,1.428571429
6.5,3.142857143
3.5,2.714285714
3.25,1
5,1.714285714
4,3.142857143
6.5,1
5.5,1
4.75,2
4.5,4.142857143
5.25,1
1,1
7,2.142857143
5.75,3.142857143
3.75,2
4.75,1.142857143
6,1.142857143
5.25,2
7,1
7,1
3.25,2.571428571
6.5,1.285714286
4.25,1.571428571
3.75,1.857142857
4,2.571428571
5.25,2.571428571
3,1.428571429
6.25,2.857142857
5,2.142857143
3.5,2.714285714
2.75,3
6,2.857142857
5.5,1.714285714
3.5,1.714285714
7,3.571428571
3.25,1.714285714
4.75,2.857142857
4.25,2.714285714
7,2.285714286
7,1
6,1.142857143
5.75,1.142857143
5.5,1.285714286
5,1.428571429
6.75,2.142857143
6,1
5,1
5.25,2.285714286
6,1
5.25,2
7,1.142857143
5.75,1
7,2.285714286
6.25,2.285714286
5.25,2.571428571
7,2
2.25,2
6.75,1.285714286
5.75,1
6,3.285714286
7,1
5,1.428571429
5.5,1.571428571
3.5,3
2.75,1.714285714
3.25,1.857142857
4.5,1
3.75,2.428571429
5,1
4.5,2.142857143
5.5,2
4.25,1.571428571
6.5,2
6,2.428571429
4.25,1.428571429
7,3.285714286
3.5,1.571428571
1,1
2.5,1.857142857
5.25,1.142857143
4.25,4
4,3
3.75,1.285714286
5.5,2.142857143
5.75,2.285714286
6.5,1.571428571
4.75,1.142857143
5.25,1.857142857
6.25,1
6.25,1.571428571
6.5,1.285714286
6.25,1.714285714
3.25,1.714285714
4.25,1.285714286
4.25,1.428571429
6.75,1.857142857
6.25,1.714285714
4,4.714285714
4,1.285714286
2.5,1.571428571
7,3.571428571
6,1.857142857
4.25,1.714285714
3.75,1
4,1
4.25,1.285714286
4,1
5.25,2.142857143
6.5,1
5.25,2.714285714
7,1
6.25,1.714285714
6.75,1
4.25,1.142857143
5.25,1.857142857
4.75,2.285714286
4.75,2.571428571
4,1.428571429
3.75,3.142857143
7,1.285714286
2.5,1.428571429
4.75,1
1.5,1.142857143
4.75,3.428571429
6,1.142857143
5,2.285714286
6.25,1.428571429
4.75,1.428571429
6.5,2
5.75,1.857142857
1.75,2.142857143
6,2.142857143
3,3.571428571
2,1.857142857
5.25,2.714285714
5,1.714285714
4.25,1.142857143
4.5,1.857142857
4.5,1.428571429
5.25,1.428571429
5,2.714285714
7,1
4.5,1
3,2.571428571
4.5,1
6.25,1.714285714
5.5,1
5,3.428571429
4,2.571428571
2.25,1.428571429
4,1.285714286
4.25,3.285714286
6.25,1.142857143
5.25,1.714285714
4.75,2.428571429
5.5,3.714285714
4.25,3.571428571
6.25,1.857142857
6.25,1.142857143
5.25,2
6,2.428571429
4.5,1.428571429
4.5,3.142857143
6.75,1.857142857
2.75,2.857142857
5,1.571428571
4.75,1.571428571
2.5,2.142857143
5.5,1.714285714
7,1
2,2.857142857
6.5,3.285714286
3.75,2.142857143
5.75,1.428571429
4.5,2.285714286
5,2.714285714
5.75,1
3.75,1.571428571
4.75,1.285714286
3.25,1
7,1.857142857
7,2.285714286
3.75,1.857142857
5,2.142857143
3.75,3.285714286
6.75,1
5.25,1.428571429
3.5,1.428571429
7,1
2,2.285714286
5.25,1
3,1.857142857
5.25,1
6.75,1.857142857
3.25,2.857142857
5.5,2
4,2.142857143
7,2.428571429
7,1.428571429
1,1.285714286
 ,1.5
3.75,1.142857143
1.5,1
