par_num,packtype,selfsnapple,selfish,reward,include1,data_source
386,1,0,0,1,1,0
388,1,1,1,1,1,0
390,1,0,1,2,1,0
392,1,1,1,1,1,0
394,1,0,0,1,1,0
395,1,1,1,1,1,0
397,1,0,0,1,1,0
399,1,1,0,2,1,0
385,0,1,1,1,1,0
387,0,0,1,2,1,0
389,0,1,0,2,1,0
391,0,0,0,1,1,0
393,0,1,0,2,1,0
396,0,1,0,2,1,0
398,0,0,1,2,1,0
400,0,1,1,1,1,0
3950,0,0,0,1,1,0
131,1,1,,,0,0
191,1,0,,,0,0
194,1,0,,,0,0
330,1,1,,,0,0
100,1,1,1,1,1,0
101,1,1,0,2,1,0
103,1,0,0,1,1,0
106,1,0,1,2,1,0
108,1,1,1,1,1,0
110,1,0,1,2,1,0
112,1,1,1,1,1,0
114,1,0,1,2,1,0
116,1,1,1,1,1,0
119,1,0,0,1,1,0
120,1,1,1,1,1,0
122,1,0,1,2,1,0
124,1,1,1,1,1,0
126,1,0,0,1,1,0
128,1,1,0,2,1,0
130,1,0,0,1,1,0
134,1,0,0,1,1,0
136,1,1,0,2,1,0
138,1,0,1,2,1,0
140,1,1,1,1,1,0
142,1,0,0,1,1,0
144,1,1,0,2,1,0
146,1,0,0,1,1,0
148,1,1,0,2,1,0
150,1,0,0,1,1,0
152,1,1,1,1,1,0
154,1,0,0,1,1,0
156,1,1,1,1,1,0
159,1,0,0,1,1,0
160,1,1,0,2,1,0
162,1,0,0,1,1,0
164,1,1,1,1,1,0
166,1,0,1,2,1,0
168,1,1,1,1,1,0
170,1,0,0,1,1,0
171,1,1,0,2,1,0
173,1,0,1,2,0,0
175,1,1,1,1,1,0
178,1,1,0,2,1,0
181,1,1,0,2,1,0
183,1,0,1,2,1,0
185,1,1,1,1,1,0
187,1,0,1,2,1,0
189,1,1,0,2,1,0
193,1,1,0,2,1,0
1760,1,0,1,2,1,0
1800,1,0,1,2,1,0
196,1,1,1,1,1,0
197,1,1,0,2,1,0
199,1,0,0,1,1,0
201,1,1,0,2,1,0
203,1,0,0,1,1,0
205,1,1,1,1,1,0
207,1,0,1,2,1,0
209,1,1,1,1,1,0
211,1,0,1,2,1,0
213,1,1,1,1,1,0
215,1,0,1,2,1,0
217,1,1,1,1,1,0
219,1,0,0,1,1,0
221,1,1,1,1,1,0
223,1,0,0,1,1,0
225,1,1,1,1,1,0
227,1,0,0,1,1,0
229,1,1,0,2,1,0
230,1,0,1,2,1,0
232,1,1,1,1,1,0
