"","identity_salience","answered_correctly","questions_attempted","accuracy","quantitativesatscore","enjoyment","mathtalent","testdifficulty","perceptionsofperformance","guesses","purpose","check","mathidentificationscore","awareness","filter_."
"1",2,4,11,0.363636,"790",6,5,1,3,"1","how effectively you can solve math under time pressure",3,3.44444,0,0
"2",2,6,12,0.5,"625",7,5,4,3,"3","How good or bad students become in math since the last time when we took the SAT",3,4.33333,1,1
"3",1,2,8,0.25,"500-700",3,3,4,3,"2","To see if your math skills deteriorate over time.",3,2.33333,1,1
"4",1,7,10,0.7,"800",6,5,4,4,"0","To see if the cultural biases and stereotypes do apply in real life.",2,4.66667,1,1
"5",2,4,7,0.571429,"SAT, 780",4,5,4,4,"0","When faced with restricted options, what people choose. I think for some of the problems, the correct answer wasn't an available",3,4,1,1
"8",1,4,9,0.444444,"I don't remember",4,4,4,4,"2","To see whether people believe if some stereotypes are true, such as whether you would think you did good on the math test just b",2,3.33333,1,1
"9",1,2,7,0.285714,"800",3,3,4,2,"0","not sure...",3,3.88889,1,1
"10",1,8,11,0.727273,"SAT, 760 ACT, 35",6,4,5,3,"3","See how Asian Americans do on a math test compared to people of different ethnicity taking into account self-identified confiden",2,3,1,1
"12",1,6,9,0.666667,"530 SAT",2,3,4,2,"3","To identify people's abilities to solve problems in a matter of time and their methods of approach.",2,2.55556,1,1
"15",2,5,10,0.5,"760",6,6,4,5,"1","Test how much college students still remember elementary math",1,3.88889,1,1
"17",2,5,12,0.416667,"Didn't take",5,3,6,2,"4","Testing whether Asians do better than other races in Math",3,4.44444,1,1
"22",1,4,7,0.571429,"660",2,2,6,2,"1","do students who claim to be good at writing do poorly on math tests and do students who claim to be good at math do poorly on wr",1,2.22222,1,1
"23",2,4,5,0.8,"710",2,2,6,7,"2","To observe the correlation between the SAT math score and scores of abstract math questions.",3,4.33333,1,1
"26",2,3,12,0.25,"580 ish, don't remembered the exact number",4,2,5,2,"5","Maybe how our performance and our perception of self is correlated?",3,3.33333,1,1
"27",1,3,9,0.333333,"760",2,1,7,1,"a lot?","people's perceived ability vs actual ability? Asian stereotypes about math?",2,3,1,1
