"","par_num","selfish","packtype","include1"
"1",386,0,1,1
"2",388,1,1,1
"3",390,1,1,1
"4",392,1,1,1
"5",394,0,1,1
"6",395,1,1,1
"7",397,0,1,1
"8",399,0,1,1
"9",385,1,0,1
"10",387,1,0,1
"11",389,0,0,1
"12",391,0,0,1
"13",393,0,0,1
"14",396,0,0,1
"15",398,1,0,1
"16",400,1,0,1
"17",3950,0,0,1
"22",100,1,1,1
"23",101,0,1,1
"24",103,0,1,1
"25",106,1,1,1
"26",108,1,1,1
"27",110,1,1,1
"28",112,1,1,1
"29",114,1,1,1
"30",116,1,1,1
"31",119,0,1,1
"32",120,1,1,1
"33",122,1,1,1
"34",124,1,1,1
"35",126,0,1,1
"36",128,0,1,1
"37",130,0,1,1
"38",134,0,1,1
"39",136,0,1,1
"40",138,1,1,1
"41",140,1,1,1
"42",142,0,1,1
"43",144,0,1,1
"44",146,0,1,1
"45",148,0,1,1
"46",150,0,1,1
"47",152,1,1,1
"48",154,0,1,1
"49",156,1,1,1
"50",159,0,1,1
"51",160,0,1,1
"52",162,0,1,1
"53",164,1,1,1
"54",166,1,1,1
"55",168,1,1,1
"56",170,0,1,1
"57",171,0,1,1
"59",175,1,1,1
"60",178,0,1,1
"61",181,0,1,1
"62",183,1,1,1
"63",185,1,1,1
"64",187,1,1,1
"65",189,0,1,1
"66",193,0,1,1
"67",1760,1,1,1
"68",1800,1,1,1
"69",196,1,1,1
"70",197,0,1,1
"71",199,0,1,1
"72",201,0,1,1
"73",203,0,1,1
"74",205,1,1,1
"75",207,1,1,1
"76",209,1,1,1
"77",211,1,1,1
"78",213,1,1,1
"79",215,1,1,1
"80",217,1,1,1
"81",219,0,1,1
"82",221,1,1,1
"83",223,0,1,1
"84",225,1,1,1
"85",227,0,1,1
"86",229,0,1,1
"87",230,1,1,1
"88",232,1,1,1
"89",234,0,1,1
"90",236,1,1,1
"91",238,1,1,1
"92",241,0,1,1
"93",243,0,1,1
"94",245,0,1,1
"95",247,0,1,1
"96",249,0,1,1
"97",251,0,1,1
"98",253,0,1,1
"99",255,1,1,1
"100",257,1,1,1
"101",259,1,1,1
"102",261,1,1,1
"103",263,0,1,1
"104",265,1,1,1
"105",267,1,1,1
"106",269,1,1,1
"107",271,1,1,1
"108",273,1,1,1
"109",275,1,1,1
"110",277,0,1,1
"111",279,1,1,1
"112",281,0,1,1
"113",283,1,1,1
"114",285,0,1,1
"115",287,0,1,1
"116",289,0,1,1
"117",293,1,1,1
"118",295,1,1,1
"119",296,0,1,1
"120",298,1,1,1
"121",300,0,1,1
"122",302,1,1,1
"123",304,0,1,1
"124",306,1,1,1
"125",308,0,1,1
"126",310,0,1,1
"127",312,0,1,1
"128",314,0,1,1
"129",316,1,1,1
"130",318,0,1,1
"131",320,0,1,1
"132",322,0,1,1
"133",324,0,1,1
"134",326,0,1,1
"135",328,1,1,1
"136",332,1,1,1
"137",334,0,1,1
"138",336,1,1,1
"139",338,0,1,1
"140",340,0,1,1
"141",342,1,1,1
"142",344,1,1,1
"143",346,1,1,1
"144",348,0,1,1
"145",350,1,1,1
"146",352,0,1,1
"147",354,1,1,1
"148",356,1,1,1
"149",358,1,1,1
"150",360,1,1,1
"151",362,0,1,1
"152",364,1,1,1
"153",366,0,1,1
"154",368,1,1,1
"155",370,0,1,1
"156",372,0,1,1
"157",374,0,1,1
"158",376,1,1,1
"159",378,1,1,1
"160",380,1,1,1
"161",382,1,1,1
"162",384,0,1,1
"167",102,0,0,1
"168",104,0,0,1
"169",107,1,0,1
"170",109,1,0,1
"171",111,1,0,1
"172",113,0,0,1
"173",115,1,0,1
"174",117,0,0,1
"175",118,0,0,1
"176",121,0,0,1
"177",123,1,0,1
"178",125,0,0,1
"179",127,0,0,1
"180",132,0,0,1
"181",133,0,0,1
"182",135,0,0,1
"183",137,0,0,1
"184",139,1,0,1
"185",141,1,0,1
"187",145,1,0,1
"188",147,0,0,1
"189",149,1,0,1
"190",151,0,0,1
"191",153,0,0,1
"192",155,0,0,1
"193",157,1,0,1
"195",161,0,0,1
"196",163,0,0,1
"198",167,0,0,1
"199",169,0,0,1
"200",172,1,0,1
"201",174,0,0,1
"202",176,0,0,1
"203",177,1,0,1
"204",179,0,0,1
"205",180,0,0,1
"206",182,1,0,1
"207",184,1,0,1
"208",186,1,0,1
"209",188,0,0,1
"210",190,1,0,1
"211",192,0,0,1
"212",1710,0,0,1
"213",1920,0,0,1
"214",2950,1,0,1
"215",198,0,0,1
"216",200,1,0,1
"217",202,0,0,1
"218",204,0,0,1
"219",206,0,0,1
"220",208,0,0,1
"221",210,0,0,1
"222",212,0,0,1
"223",214,1,0,1
"224",216,1,0,1
"225",218,1,0,1
"226",220,1,0,1
"227",222,1,0,1
"228",224,0,0,1
"229",226,0,0,1
"230",228,1,0,1
"231",231,0,0,1
"232",233,1,0,1
"233",235,0,0,1
"234",237,0,0,1
"235",239,0,0,1
"236",240,0,0,1
"237",242,1,0,1
"238",244,0,0,1
"239",246,0,0,1
"240",248,0,0,1
"241",250,0,0,1
"242",252,0,0,1
"243",254,0,0,1
"244",256,1,0,1
"245",258,1,0,1
"246",260,0,0,1
"247",262,0,0,1
"248",266,0,0,1
"249",268,0,0,1
"250",270,0,0,1
"251",272,0,0,1
"252",274,0,0,1
"253",276,1,0,1
"254",278,1,0,1
"255",280,0,0,1
"256",282,0,0,1
"257",284,1,0,1
"258",286,0,0,1
"259",288,0,0,1
"260",290,1,0,1
"261",292,1,0,1
"262",294,0,0,1
"263",297,1,0,1
"264",299,0,0,1
"265",301,1,0,1
"266",303,0,0,1
"267",305,0,0,1
"268",307,1,0,1
"269",309,0,0,1
"270",311,1,0,1
"271",313,0,0,1
"272",315,0,0,1
"273",317,0,0,1
"274",319,0,0,1
"275",321,0,0,1
"276",323,1,0,1
"277",325,1,0,1
"278",327,1,0,1
"279",329,1,0,1
"280",331,0,0,1
"281",333,1,0,1
"282",335,0,0,1
"283",337,0,0,1
"284",339,0,0,1
"285",341,1,0,1
"286",343,1,0,1
"287",345,1,0,1
"288",347,0,0,1
"289",349,0,0,1
"290",351,0,0,1
"291",353,1,0,1
"292",355,0,0,1
"293",357,0,0,1
"294",359,1,0,1
"295",361,1,0,1
"296",363,1,0,1
"297",365,1,0,1
"298",367,1,0,1
"299",369,1,0,1
"300",371,0,0,1
"301",373,0,0,1
"302",375,0,0,1
"303",377,1,0,1
"304",379,0,0,1
"305",381,1,0,1
"306",383,0,0,1
"320",112,0,1,1
"321",313,1,1,1
"322",1014,0,0,1
"323",1314,1,0,1
"324",1522,0,0,1
"325",1812,1,1,1
"326",2014,0,0,1
"327",2413,0,1,1
"328",2813,1,1,1
"329",3222,1,0,1
"330",3812,0,1,1
"331",4514,1,0,1
"332",4713,1,1,1
"333",4914,0,0,1
"334",5414,0,0,1
"335",5722,1,0,1
"336",6214,1,0,1
"337",6312,0,1,1
"338",113,1,1,1
"339",114,1,0,1
"340",122,0,0,1
"341",213,0,1,1
"342",214,1,0,1
"343",222,0,0,1
"344",312,0,1,1
"345",322,1,0,1
"346",412,0,1,1
"347",413,1,1,1
"348",414,1,0,1
"349",422,0,0,1
"350",512,1,1,1
"351",513,1,1,1
"352",514,1,0,1
